"Month","Year","Days_Fished","Number_Fishers_Mo","Catch","Effort","Income","CPUE_final","Month_Number","year"
"January",2012,14,21,5606,53,6619967.80862439,105.77358490566,1,2012
"February",2012,8,23,5421,63,5800900,86.0476190476191,2,2012
"March",2012,17,36,7455,100,8530479.71588982,74.55,3,2012
"April",2012,19,31,10099,122,12269124.3683602,82.7786885245902,4,2012
"May",2012,31,42,17021,197,25504878.7604806,86.4010152284264,5,2012
"June",2012,25,29,17118,189,28859219.4699217,90.5714285714286,6,2012
"July",2012,7,7,2530,21,2666050,120.47619047619,7,2012
"August",2012,24,27,9699,93,14048557.5663626,104.290322580645,8,2012
"September",2012,27,36,20796,205,28649750,101.443902439024,9,2012
"October",2012,27,36,29456,284,50523620.770275,103.718309859155,10,2012
"November",2012,28,41,19450,219,36783150,88.8127853881278,11,2012
"January",2013,12,28,4673,66,6710250,70.8030303030303,1,2013
"February",2013,23,26,8470,113,12740450,74.9557522123894,2,2013
"March",2013,15,31,4045,63,7086500,64.2063492063492,3,2013
"April",2013,20,41,12213,144,14500453.6099345,84.8125,4,2013
"May",2013,30,69,27064,328,32742671.4794649,82.5121951219512,5,2013
"June",2013,29,62,24958,276,41752350,90.4275362318841,6,2013
"July",2013,31,56,18993,284,31435668.8387384,66.8767605633803,7,2013
"August",2013,25,38,14951,204,25206650,73.2892156862745,8,2013
"September",2013,25,35,11600,108,20217600,107.407407407407,9,2013
"October",2013,31,48,27109,287,41888950,94.4564459930314,10,2013
"November",2013,29,48,25236,287,39100250,87.9303135888502,11,2013
"January",2015,14,17,5960,50,10513047,119.2,1,2015
"July",2015,16,28,8804,99,16052450,88.9292929292929,7,2015
"August",2015,21,25,14503,136,34677000,106.639705882353,8,2015
"September",2015,21,22,8361,84,16954350,99.5357142857143,9,2015
"October",2015,28,21,13637,142,33087268.6218244,96.0352112676056,10,2015
"November",2015,29,22,15929,158,26240350,100.816455696203,11,2015
"January",2016,21,29,15358,117,20452247,131.264957264957,1,2016
"February",2016,22,30,13859,130,19341350,106.607692307692,2,2016
"March",2016,26,32,21299,240,27435013.7362637,88.7458333333333,3,2016
"April",2016,29,36,20179,271,29335950,74.4612546125461,4,2016
"May",2016,30,16,20018,176,35107750,113.738636363636,5,2016
"June",2016,28,40,22903,213,46607050,107.525821596244,6,2016
"July",2016,24,20,12309,114,27611400,107.973684210526,7,2016
"August",2016,28,28,27565,216,53656900,127.615740740741,8,2016
"September",2016,30,30,36302,262,84901350,138.557251908397,9,2016
"October",2016,25,22,9409,102,19341600,92.2450980392157,10,2016
"November",2016,27,33,16134,154,24848150,104.766233766234,11,2016
"January",2017,25,33,10335,117,20099900,88.3333333333333,1,2017
"February",2017,17,28,7455,84,15047100,88.75,2,2017
"March",2017,18,23,6718,73,11581400,92.027397260274,3,2017
"April",2017,16,22,10716,61,20486200,175.672131147541,4,2017
"May",2017,16,15,7160,38,11968150,188.421052631579,5,2017
