"Month","Species","Year","Total_Catch","Total_Income","Individual_fishing_trips_mo","CPUE"
"January","#N/A","2012",389,524933.655332303,53,7.33962264150943
"January","#N/A","2013",728,1152000,66,11.030303030303
"January","#N/A","2015",1077,2197900,50,21.54
"January","#N/A","2017",1104,3535250,117,9.43589743589744
"January","#N/A","2023",6,24055.5555555556,160,0.0375
"January","Ablabys taenianotus","2013",1,3000,66,0.0151515151515152
"January","Abudefduf sexfasciatus","2023",57,85500,160,0.35625
"January","Acanthurus bariene","2016",30,2e+05,117,0.256410256410256
"January","Acanthurus bariene","2018",29,175000,50,0.58
"January","Acanthurus bariene","2019",1,10000,98,0.0102040816326531
"January","Acanthurus bariene","2023",37,370000,160,0.23125
"January","Acanthurus cf leucosternon","2022",2,50000,41,0.0487804878048781
"January","Acanthurus chronixis","2012",6,11500,53,0.113207547169811
"January","Acanthurus chronixis","2013",2,4000,66,0.0303030303030303
"January","Acanthurus chronixis","2022",62,482000,41,1.51219512195122
"January","Acanthurus chronixis","2023",2,12000,160,0.0125
"January","Acanthurus grammoptilus","2013",4,4000,66,0.0606060606060606
"January","Acanthurus leucoheilus","2016",4,12500,117,0.0341880341880342
"January","Acanthurus leucoheilus","2017",36,172500,117,0.307692307692308
"January","Acanthurus leucoheilus","2018",3,10000,50,0.06
"January","Acanthurus leucoheilus","2019",5,25000,98,0.0510204081632653
"January","Acanthurus leucosternon","2017",2,27500,117,0.0170940170940171
"January","Acanthurus leucosternon","2019",1,15000,98,0.0102040816326531
"January","Acanthurus leucosternon","2023",3,75000,160,0.01875
"January","Acanthurus lineatus","2012",7,15066.1157024793,53,0.132075471698113
"January","Acanthurus lineatus","2013",23,56750,66,0.348484848484849
"January","Acanthurus lineatus","2015",1,2500,50,0.02
"January","Acanthurus lineatus","2016",19,24500,117,0.162393162393162
"January","Acanthurus lineatus","2017",370,877000,117,3.16239316239316
"January","Acanthurus lineatus","2018",27,90000,50,0.54
"January","Acanthurus lineatus","2019",8,34000,98,0.0816326530612245
"January","Acanthurus lineatus","2022",9,52000,41,0.219512195121951
"January","Acanthurus lineatus","2023",353,1412000,160,2.20625
"January","Acanthurus maculiceps","2015",1,25000,50,0.02
"January","Acanthurus maculiceps","2016",1,25000,117,0.00854700854700855
"January","Acanthurus maculiceps","2017",15,224000,117,0.128205128205128
"January","Acanthurus nigricans","2012",9,63000,53,0.169811320754717
"January","Acanthurus nigricans","2015",1,7000,50,0.02
"January","Acanthurus nigricans","2016",2,15000,117,0.0170940170940171
"January","Acanthurus nigricans","2017",36,422000,117,0.307692307692308
"January","Acanthurus nigricans","2019",1,12500,98,0.0102040816326531
"January","Acanthurus nigricans","2022",2,32500,41,0.0487804878048781
"January","Acanthurus nigricans","2023",203,3298750,160,1.26875
"January","Acanthurus nigrofuscus","2012",29,40500,53,0.547169811320755
"January","Acanthurus nigrofuscus","2015",1,1000,50,0.02
"January","Acanthurus nigrofuscus","2016",22,22000,117,0.188034188034188
"January","Acanthurus nigrofuscus","2017",21,21000,117,0.179487179487179
"January","Acanthurus nigrofuscus","2018",3,3000,50,0.06
"January","Acanthurus nigrofuscus","2019",7,7000,98,0.0714285714285714
"January","Acanthurus nigroris","2015",60,122000,50,1.2
"January","Acanthurus nigroris","2016",97,159000,117,0.829059829059829
"January","Acanthurus nigroris","2017",133,201000,117,1.13675213675214
"January","Acanthurus nigroris","2018",32,66000,50,0.64
"January","Acanthurus nigroris","2019",29,45000,98,0.295918367346939
"January","Acanthurus nigroris","2023",128,192000,160,0.8
"January","Acanthurus olivaceus","2012",13,16000,53,0.245283018867925
"January","Acanthurus olivaceus","2013",16,34500,66,0.242424242424242
"January","Acanthurus olivaceus","2015",2,11500,50,0.04
"January","Acanthurus olivaceus","2016",9,21500,117,0.0769230769230769
"January","Acanthurus olivaceus","2017",45,111000,117,0.384615384615385
"January","Acanthurus olivaceus","2018",5,15000,50,0.1
"January","Acanthurus olivaceus","2019",8,36000,98,0.0816326530612245
"January","Acanthurus olivaceus","2022",17,122500,41,0.414634146341463
"January","Acanthurus olivaceus","2023",4,16000,160,0.025
"January","Acanthurus pyroferus","2012",4,27000,53,0.0754716981132075
"January","Acanthurus pyroferus","2016",7,10500,117,0.0598290598290598
"January","Acanthurus pyroferus","2017",21,61500,117,0.179487179487179
"January","Acanthurus pyroferus","2018",23,78500,50,0.46
"January","Acanthurus pyroferus","2019",18,55500,98,0.183673469387755
"January","Acanthurus pyroferus","2022",20,4e+05,41,0.48780487804878
"January","Acanthurus pyroferus","2023",12,125000,160,0.075
"January","Acanthurus triostegus","2015",2,3000,50,0.04
"January","Acanthurus triostegus","2016",5,4500,117,0.0427350427350427
"January","Acanthurus triostegus","2017",24,50000,117,0.205128205128205
"January","Acanthurus triostegus","2018",3,9000,50,0.06
"January","Acanthurus triostegus","2019",9,18000,98,0.0918367346938776
"January","Acanthurus triostegus","2022",17,84000,41,0.414634146341463
"January","Acanthurus triostegus","2023",39,58500,160,0.24375
"January","Acanthurus tristris","2017",9,47000,117,0.0769230769230769
"January","Acanthurus tristris","2018",2,8500,50,0.04
"January","Acanthurus tristris","2023",44,132000,160,0.275
"January","Acanthurus xanthopterus","2019",3,15000,98,0.0306122448979592
"January","Acanthurus xanthopterus","2023",1,5000,160,0.00625
"January","Acreichthys tomentosus","2022",56,168000,41,1.36585365853659
"January","Amblycirrhitus pinos","2012",64,57800,53,1.20754716981132
"January","Amblycirrhitus pinos","2013",32,25250,66,0.484848484848485
"January","Amblyeleotris aurora","2022",69,345000,41,1.68292682926829
"January","Amblyeleotris guttata","2022",132,528000,41,3.21951219512195
"January","Amblyeleotris randalli","2022",8,280000,41,0.195121951219512
"January","Amblyeleotris steinitzi","2019",10,25500,98,0.102040816326531
"January","Amblyeleotris wheeleri","2022",117,468000,41,2.85365853658537
"January","Amblygobius phalaena","2022",106,318000,41,2.58536585365854
"January","Amphiprion clarkii","2012",11,12200,53,0.207547169811321
"January","Amphiprion clarkii","2015",28,76500,50,0.56
"January","Amphiprion clarkii","2016",82,139500,117,0.700854700854701
"January","Amphiprion clarkii","2017",94,207000,117,0.803418803418803
"January","Amphiprion clarkii","2018",32,84750,50,0.64
"January","Amphiprion clarkii","2019",8,13000,98,0.0816326530612245
"January","Amphiprion clarkii","2022",78,328000,41,1.90243902439024
"January","Amphiprion clarkii","2023",20,40000,160,0.125
"January","Amphiprion frenatus","2017",3,4500,117,0.0256410256410256
"January","Amphiprion melanopus","2022",1,3000,41,0.024390243902439
"January","Amphiprion ocellaris","2012",3,3000,53,0.0566037735849057
"January","Amphiprion ocellaris","2015",20,35000,50,0.4
"January","Amphiprion ocellaris","2016",25,42500,117,0.213675213675214
"January","Amphiprion ocellaris","2017",9,22500,117,0.0769230769230769
"January","Amphiprion ocellaris","2018",2,5000,50,0.04
"January","Amphiprion ocellaris","2019",2,4000,98,0.0204081632653061
"January","Amphiprion ocellaris","2022",9,21000,41,0.219512195121951
"January","Amphiprion ocellaris","2023",4,10000,160,0.025
"January","Amphiprion perideraion","2022",11,32500,41,0.268292682926829
"January","Amphiprion perideraion","2023",4,4000,160,0.025
"January","Amphiprion polymnus","2022",43,212000,41,1.04878048780488
"January","Amphiprion sandaracinos","2015",2,3000,50,0.04
"January","Amphiprion sandaracinos","2016",21,37000,117,0.179487179487179
"January","Amphiprion sandaracinos","2018",11,20500,50,0.22
"January","Amphiprion sandaracinos","2019",3,4500,98,0.0306122448979592
"January","Anampses caeruleopunctatus","2015",30,88000,50,0.6
"January","Anampses caeruleopunctatus","2016",35,93000,117,0.299145299145299
"January","Anampses caeruleopunctatus","2017",7,21000,117,0.0598290598290598
"January","Anampses caeruleopunctatus","2018",35,79000,50,0.7
"January","Anampses caeruleopunctatus","2022",1,3500,41,0.024390243902439
"January","Anampses caeruleopunctatus","2023",4,4000,160,0.025
"January","Anampses lineatus","2012",5,7500,53,0.0943396226415094
"January","Anampses melanurus","2018",1,3500,50,0.02
"January","Anampses melanurus","2023",23,203000,160,0.14375
"January","Anampses meleagrides","2012",25,87000,53,0.471698113207547
"January","Anampses meleagrides","2013",22,79500,66,0.333333333333333
"January","Anampses meleagrides","2015",12,90500,50,0.24
"January","Anampses meleagrides","2016",26,147500,117,0.222222222222222
"January","Anampses meleagrides","2017",27,234000,117,0.230769230769231
"January","Anampses meleagrides","2018",23,143500,50,0.46
"January","Anampses meleagrides","2019",6,60000,98,0.0612244897959184
"January","Anampses meleagrides","2022",62,731000,41,1.51219512195122
"January","Anampses meleagrides","2023",4,20000,160,0.025
"January","Ancanthurus pyroferus","2016",7,67000,117,0.0598290598290598
"January","Ancanthurus pyroferus","2019",7,70000,98,0.0714285714285714
"January","Antennarius nummifer","2023",1,2000,160,0.00625
"January","Apolemichthys trimaculatus","2012",1,10000,53,0.0188679245283019
"January","Apolemichthys trimaculatus","2017",2,35000,117,0.0170940170940171
"January","Apolemichthys trimaculatus","2019",1,25000,98,0.0102040816326531
"January","Arothron immaculatus","2012",2,3000,53,0.0377358490566038
"January","Arothron meleagris","2013",4,8000,66,0.0606060606060606
"January","Arothron meleagris","2015",1,3000,50,0.02
"January","Arothron meleagris","2016",3,7000,117,0.0256410256410256
"January","Arothron meleagris","2017",28,51750,117,0.239316239316239
"January","Arothron meleagris","2018",8,24000,50,0.16
"January","Arothron meleagris","2019",19,57000,98,0.193877551020408
"January","Arothron nigropunctatus","2022",18,90000,41,0.439024390243902
"January","Arothron nigropunctatus","2023",29,58000,160,0.18125
"January","Atrosalarias fuscus","2015",3,4500,50,0.06
"January","Atrosalarias fuscus","2016",5,6500,117,0.0427350427350427
"January","Atrosalarias fuscus","2017",5,5000,117,0.0427350427350427
"January","Atrosalarias fuscus","2018",2,2000,50,0.04
"January","Atrosalarias fuscus","2019",29,29000,98,0.295918367346939
"January","Atrosalarias fuscus","2023",3,3000,160,0.01875
"January","Balistapus undulatus","2013",4,4000,66,0.0606060606060606
"January","Balistapus undulatus","2018",3,9000,50,0.06
"January","Balistapus undulatus","2022",3,10500,41,0.0731707317073171
"January","Balistapus undulatus","2023",1,3000,160,0.00625
"January","Balistoides conspicillum","2017",1,1e+05,117,0.00854700854700855
"January","Balistoides conspicillum","2018",1,1e+05,50,0.02
"January","Bodianus axillaris","2017",1,1500,117,0.00854700854700855
"January","Bodianus axillaris","2018",1,8000,50,0.02
"January","Bodianus bilunulatus","2022",1,12500,41,0.024390243902439
"January","Bodianus bimaculatus","2013",3,18000,66,0.0454545454545455
"January","Bodianus bimaculatus","2016",28,108000,117,0.239316239316239
"January","Bodianus bimaculatus","2022",6,54000,41,0.146341463414634
"January","Bodianus diana","2015",74,157500,50,1.48
"January","Bodianus diana","2016",148,305500,117,1.26495726495726
"January","Bodianus diana","2017",25,50500,117,0.213675213675214
"January","Bodianus diana","2018",42,92500,50,0.84
"January","Bodianus diana","2019",68,137000,98,0.693877551020408
"January","Bodianus diana","2022",5,17000,41,0.121951219512195
"January","Bodianus diana","2023",67,76223.159090909,160,0.41875
"January","Bodianus mesothorax","2015",13,30500,50,0.26
"January","Bodianus mesothorax","2016",21,46500,117,0.179487179487179
"January","Bodianus mesothorax","2017",52,122000,117,0.444444444444444
"January","Bodianus mesothorax","2018",21,54500,50,0.42
"January","Bodianus mesothorax","2019",42,90500,98,0.428571428571429
"January","Bodianus mesothorax","2022",6,24000,41,0.146341463414634
"January","Bodianus mesothorax","2023",22,34517.6344086022,160,0.1375
"January","Calcinus elegans","2012",18,27000,53,0.339622641509434
"January","Calcinus elegans","2023",1063,62090071.4285714,160,6.64375
"January","Canthigaster epilampra","2012",1,2000,53,0.0188679245283019
"January","Canthigaster solandri","2022",11,33000,41,0.268292682926829
"January","Canthigaster solandri","2023",2,4000,160,0.0125
"January","Canthigaster valentini","2012",24,36750,53,0.452830188679245
"January","Canthigaster valentini","2015",35,87500,50,0.7
"January","Canthigaster valentini","2016",58,110500,117,0.495726495726496
