"Species","Year","Total_Catch_Yr","Total_Income_Yr","Total_Fishing_Trips_Yr","CPUE"
"#N/A","2012",8277,16888171.6383308,1593,5.19585687382298
"#N/A","2013",37206,68602628.3210655,2234,16.6544315129812
"#N/A","2015",20319,68180466.2569832,727,27.949105914718
"#N/A","2017",20516,76418502.5118483,1130,18.1557522123894
"#N/A","2022",12,12000,100,0.12
"#N/A","2023",94,318666.666666667,1259,0.0746624305003971
"Abalistes stellaris","2013",2,30000,221,0.00904977375565611
"Ablabys macracanthus","2023",13,32500,710,0.0183098591549296
"Ablabys taenianotus","2012",1,3000,47,0.0212765957446809
"Ablabys taenianotus","2013",27,34000,1813,0.014892443463872
"Ablabys taenianotus","2022",3,7500,66,0.0454545454545455
"Ablabys taenianotus","2023",2,6000,176,0.0113636363636364
"Ablabys taenionotus","2015",2,3000,142,0.0140845070422535
"Ablabys taenionotus","2016",7,22000,641,0.0109204368174727
"Abudefduf saxatilis","2012",9,73000,708,0.0127118644067797
"Abudefduf septemfasciatus","2012",680,345000,725,0.937931034482759
"Abudefduf septemfasciatus","2013",260,130000,717,0.362622036262204
"Abudefduf septemfasciatus","2016",225,112500,522,0.431034482758621
"Abudefduf septemfasciatus","2017",227,113500,189,1.2010582010582
"Abudefduf sexfasciatus","2023",57,85500,160,0.35625
"Acanthurus Negricaudus","2016",3,5000,306,0.00980392156862745
"Acanthurus bariene","2016",1016,7984000,2087,0.486823191183517
"Acanthurus bariene","2018",165,1396000,1423,0.115952213633169
"Acanthurus bariene","2019",75,657000,842,0.0890736342042755
"Acanthurus bariene","2022",29,290000,171,0.169590643274854
"Acanthurus bariene","2023",150,1500000,1312,0.114329268292683
"Acanthurus cf leucosternon","2022",2,50000,41,0.0487804878048781
"Acanthurus cf leucosternon","2023",1,25000,35,0.0285714285714286
"Acanthurus chronixis","2012",2560,3391369.37716263,1572,1.62849872773537
"Acanthurus chronixis","2013",188,438585.317460318,2171,0.0865960386918471
"Acanthurus chronixis","2022",397,2802000,389,1.02056555269923
"Acanthurus chronixis","2023",123,742000,1525,0.080655737704918
"Acanthurus grammoptilus","2012",149,112000,813,0.183271832718327
"Acanthurus grammoptilus","2013",302,302280.24691358,2160,0.139814814814815
"Acanthurus guttatus","2022",1,75000,43,0.0232558139534884
"Acanthurus leucoheilus","2015",47,222500,677,0.069423929098966
"Acanthurus leucoheilus","2016",215,861000,1957,0.109862033725089
"Acanthurus leucoheilus","2017",83,390000,563,0.147424511545293
"Acanthurus leucoheilus","2018",101,450000,1423,0.0709768095572734
"Acanthurus leucoheilus","2019",41,205000,842,0.0486935866983373
"Acanthurus leucoheilus","2023",17,76500,510,0.0333333333333333
"Acanthurus leucosternon","2013",5,125000,389,0.012853470437018
"Acanthurus leucosternon","2016",17,330000,873,0.0194730813287514
