"Month","Year","Gear","Location","Days_Fished","Total_SpCatch_Mo","Total_Mo_Income","Fishing_Trips_Mo","Number_Fishers_Mo","CPUE"
"January","2022","Snorkle","Les",1,60,120000,2,2,30
"January","2022","Snorkle","Tejakula",12,10252,44234500,41,6,250.048780487805
"January","2023","Compressor","Les",20,4978,10409885.6383997,70,14,71.1142857142857
"January","2023","Compressor","Tejakula",1,20,80000,1,1,20
"January","2023","Snorkle","Les",19,4016,58795178.0635184,67,21,59.9402985074627
"January","2023","Snorkle","Tejakula",8,4147,6948298.53111111,17,5,243.941176470588
"February","2022","Snorkle","Tejakula",17,9798,41198500,36,6,272.166666666667
"February","2023","Compressor","Les",10,1739,2772949.8822564,34,14,51.1470588235294
"February","2023","Snorkle","Les",12,2698,35281324.0319212,45,18,59.9555555555556
"February","2023","Snorkle","Tejakula",9,5485,10860500,17,2,322.647058823529
"March","2022","Snorkle","Tejakula",15,6757,31499500,30,5,225.233333333333
"March","2023","Compressor","Les",9,1283,2200994.83521118,16,3,80.1875
"March","2023","Compressor","Tejakula",1,108,185182.777954196,3,3,36
"March","2023","Snorkle","Les",13,3061,12704167.9470066,57,17,53.7017543859649
"March","2023","Snorkle","Tejakula",14,5415,14893000,31,3,174.677419354839
"April","2022","Compressor","Les",1,271,425353.260869565,3,3,90.3333333333333
"April","2022","Snorkle","Les",1,119,209158.018867925,1,1,119
"April","2022","Snorkle","Tejakula",9,4956,16906000,22,5,225.272727272727
"April","2023","Compressor","Les",8,779,1375197.84468719,21,8,37.0952380952381
"April","2023","Snorkle","Les",13,3236,6032784.5213124,54,17,59.9259259259259
"April","2023","Snorkle","Tejakula",5,3168,8037874.84,9,3,352
"May","2022","Compressor","Les",1,472,1003893.53070558,4,4,118
"May","2022","Snorkle","Les",1,350,842823.058358929,2,2,175
"May","2022","Snorkle","Tejakula",9,5617,33372000,24,5,234.041666666667
"May","2023","Compressor","Les",13,1494,5157582.00602229,37,12,40.3783783783784
"May","2023","Snorkle","Les",15,3657,7944190.97575991,72,19,50.7916666666667
"May","2023","Snorkle","Tejakula",15,4097,11032500,30,4,136.566666666667
"June","2022","Compressor","Les",1,203,445002.127569936,2,2,101.5
"June","2022","Snorkle","Les",1,253,513094.339622642,3,3,84.3333333333333
"June","2022","Snorkle","Tejakula",15,6428,25234000,37,5,173.72972972973
"June","2023","Compressor","Les",19,3022,5435460.33318275,63,15,47.968253968254
"June","2023","Snorkle","Les",21,5222,8820255.00555563,106,17,49.2641509433962
"June","2023","Snorkle","Tejakula",10,3379,7952451.08055016,23,5,146.913043478261
"July","2022","Snorkle","Tejakula",7,2796,5973500,12,2,233
"July","2023","Compressor","Les",5,1580,5746196.69491128,15,9,105.333333333333
"July","2023","Snorkle","Les",8,3508,7238278.96772131,48,20,73.0833333333333
"July","2023","Snorkle","Tejakula",10,4986,10564000,20,2,249.3
"August","2022","Snorkle","Tejakula",5,1762,4189000,8,3,220.25
"August","2023","Compressor","Les",2,145,328473.128583956,6,4,24.1666666666667
"August","2023","Snorkle","Les",3,419,1004170.77294355,5,4,83.8
"August","2023","Snorkle","Tejakula",12,3237,9187000,24,3,134.875
"September","2022","Snorkle","Tejakula",17,5363,14790000,30,2,178.766666666667
"September","2023","Compressor","Les",10,3973,9107741.05317458,52,17,76.4038461538462
"September","2023","Snorkle","Les",6,579,1183872.1595202,23,12,25.1739130434783
"September","2023","Snorkle","Tejakula",8,1090,2806500,16,2,68.125
"October","2022","Snorkle","Tejakula",15,5305,15862500,31,4,171.129032258065
"October","2023","Compressor","Les",8,2717,6658232.07286638,40,14,67.925
"October","2023","Snorkle","Les",16,4005,10137412.7330129,82,19,48.8414634146341
"October","2023","Snorkle","Tejakula",14,5062,12407000,30,4,168.733333333333
"November","2022","Snorkle","Les",13,5145,13681500,25,3,205.8
"November","2023","Compressor","Les",17,2183,4307533.9117943,40,12,54.575
"November","2023","Snorkle","Les",14,1481,3209855.6183871,47,13,31.5106382978723
"November","2023","Snorkle","Tejakula",13,4183,10796500,23,2,181.869565217391
"December","2022","Compressor","Les",5,1406,2656916.83155515,8,5,175.75
"December","2022","Snorkle","Les",14,6788,17807645.7538479,52,19,130.538461538462
"December","2023","Compressor","Les",12,1917,6315646.31822534,24,9,79.875
"December","2023","Compressor","Tejakula",8,573,1254000,10,4,57.3
"December","2023","Snorkle","Les",10,931,2108744.88966522,26,14,35.8076923076923
"December","2023","Snorkle","Tejakula",27,4280,9455250,63,12,67.9365079365079
