"Fisher","Month","Year","Days_Fished","Total_Income","Total_Catch"
"F001","January","2013",1,84000,56
"F001","February","2013",7,1869000,1742
"F001","February","2016",1,5000,1
"F001","March","2013",3,679500,1133
"F001","April","2013",2,156991.322841922,273
"F001","May","2013",5,865713.607319326,1452
"F001","June","2013",2,617500,850
"F001","July","2012",1,21000,15
"F001","July","2013",2,288000,288
"F001","August","2013",1,180000,120
"F001","September","2013",2,639000,938
"F001","November","2013",4,874500,1367
"F001","December","2013",2,502500,308
"F002","January","2023",1,6932142.85714286,150
"F002","February","2023",1,6470000,140
"F002","October","2022",1,465500,20.5
"F002","December","2022",1,3000,2
"F003","October","2013",6,413500,41
"F003","November","2013",14,1076450,269
"F003","December","2013",1,12500,1
"F004","January","2012",3,147900,172
"F004","February","2012",1,9650,9
"F004","March","2012",3,191550,252
"F004","April","2012",8,479925.353838056,524
"F004","May","2012",4,263335.358360903,250
"F004","July","2012",1,40600,34
"F005","May","2017",1,77891.6666666667,54.4666666666667
"F005","July","2019",1,160000,41.75
"F005","August","2012",1,71625,51.25
"F006","January","2023",1,95521.6790322581,46
"F006","April","2022",1,150062.5,96.5
"F006","December","2022",1,178851.744186046,99.5
"F007","September","2012",2,311625,177
"F008","January","2013",1,95250,24
"F008","January","2015",3,454750,298
"F008","January","2016",3,454750,298
"F008","January","2017",3,408100,267.45
"F008","January","2023",5,885523.767858888,316.5
"F008","February","2012",3,373175,301.25
"F008","February","2017",3,428925,194.25
"F008","March","2012",5,246525,233
"F008","March","2013",2,60000,4
"F008","March","2016",5,660950,519
"F008","March","2017",2,327025,163
"F008","April","2012",3,204440.287356322,168.5
"F008","April","2016",11,1452650,974
"F008","April","2017",3,143950,121.25
"F008","May","2012",5,722768.45181399,351.916666666667
"F008","May","2013",10,1694774.36949478,1315.41666666667
"F008","May","2016",1,149250,127
"F008","June","2012",10,1935212.5,1160.25
"F008","June","2013",2,1208500,302
"F008","June","2016",15,3201150,1715
"F008","June","2017",4,906125,204.5
"F008","June","2023",1,5000,1
"F008","July","2013",6,744687.5,630
"F008","July","2015",3,391300,180.5
"F008","July","2016",3,894650,471
"F008","July","2017",6,1073084.42734197,451.5
"F008","August","2012",2,441025,294
"F008","August","2013",9,1433904.16666667,1044.95833333333
"F008","August","2015",9,6437075,1162.5
"F008","August","2016",12,3353900,1790.5
"F008","August","2017",1,116675,121.5
"F008","September","2012",11,1244937.5,1018
"F008","September","2016",11,6761825,1670.5
"F008","September","2017",1,102750,62
"F008","October","2012",17,3686725.96599691,1606
"F008","October","2013",4,721625,294.083333333333
"F008","October","2015",11,3384250.86592179,1084.5
"F008","October","2017",1,93000,117
"F008","October","2023",1,68250,88
"F008","November","2012",2,319750,159.5
"F008","November","2013",1,3000,2
"F008","November","2015",12,1971925,1106.5
"F008","November","2016",3,417700,329
"F008","November","2023",5,552500,270
"F008","December","2015",1,80000,69
"F008","December","2016",4,383500,252.25
"F008","December","2023",7,1056500,523
"F009","January","2012",1,82400,16
"F010","January","2012",1,52000,22
"F010","January","2013",4,387162.5,280.083333333333
"F010","January","2019",13,1383875,690
"F010","February","2012",1,98000,73
"F010","February","2016",3,296100,183
"F010","February","2017",3,331375,248
"F010","February","2018",10,1228100,829.25
"F010","February","2019",20,2853750,1663.25
"F010","March","2012",1,76605.8422258967,51.5
"F010","March","2016",9,647575,549.25
"F010","March","2017",7,443375,321.75
"F010","March","2018",10,862600,528
"F010","March","2019",12,1683625,822.75
